imdb_id,original_title,year_of_release,genres,imdb_rating,imdb_votes,story,actors
tt8647400,De De Pyaar De,2019,"['Comedy', 'Romance']",6.6,5387.0,a 50 year old Aashish living London away from his family fro many years He falls in love with a 26 year Ayesha.Thou officially not divorced from his first wife Manju.Aashish wants her permission to get married to Ayesha.Upon reaching his house in India  Ayesha finds that Aashish kids are of the same age as her.Aashish introduces Ayesha as his secretary to his family he also finds that his daughter is about to get married and VK whose become close family friend is trying to woo her Manju.,"['AjayDevgn', 'Tabu', 'RakulPreetSingh', 'JimmySheirgill', 'AlokNath', 'MadhumaltiKapoor', 'HarryAnton', 'GergoBaranyi', 'SammyJohnHeaney', 'BhavinBhanushali', 'GandharvDewan', 'GulnaazKhan', 'KumudMishra', 'SunnySinghNijjar', '']"
tt8484942,India's Most Wanted,2019,"['Action', 'Thriller']",4.4,1449.0,India's Most Wanted is a Bollywood action thriller film directed by Raj Kumar Gupta and starring Arjun Kapoor. The film is about tracking a terrorist in a secret mission and arresting him without firing bullets. It pays tribute to unsung heroes of our society.,"['ArjunKapoor', 'SudevNair', 'RajeshSharma', 'Prasanth', 'SantilalMukherjee', '']"
tt5525846,Yeh Hai India,2017,"['Action', 'Adventure', 'Drama']",5.7,169.0,"Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in U.K and shares the same stereotype views of India  which is known for its vast population  pollution and poverty. However protagonist finds new development in media or probably an 'other side of same coin' of India  which is also known for successful mars mission in first attempt  a nation which proudly holds title 'God of Cricket' for Sachin Tendulkar  who is again an Indian and a nation which is known for its holy generosity with icons like Mother Teresa"".","['GavieChahal', 'MohanAgashe', 'MohanJoshi', 'LomHarsh', '']"
tt8268972,Khamoshi,2019,"['Horror', 'Thriller']",3.7,153.0,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,"['PrabhuDeva', 'TamannaahBhatia', 'BhoomikaChawla', '']"
tt8983202,Kabir Singh,2019,"['Drama', 'Romance']",7.2,20535.0,This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.,"['ShahidKapoor', 'KiaraAdvani', 'SohamMajumdar', 'ArjanBajwa', 'SureshOberoi', 'KaminiKaushal', 'AdilHussain', 'NikitaDutta', 'AmitSharma', 'AnuragArora', 'DollyMattoo', 'AanchalChauhan', 'SuparnaMarwah', 'SwatiSeth', '']"
tt10324144,Article 15,2019,"['Crime', 'Drama']",8.3,13417.0,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,"['AyushmannKhurrana', 'Nassar', 'ManojPahwa', 'KumudMishra', 'IshaTalwar', 'SayaniGupta', 'MohammedZeeshanAyyub', 'SubhrajyotiBarat', 'SushilPandey', 'AakashDabhade', 'AshishVerma', 'RonjiniChakraborty', 'Veen', 'SumbulTouqueer', '']"
tt8130558,One Day: Justice Delivered,2019,"['Action', 'Crime', 'Thriller']",6.8,590.0,A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.,"['AnupamKher', 'KumudMishra', 'EshaGupta', 'ZakirHussain', 'RajeshSharma', 'MurliSharma', 'DeepshikaNagpal', '']"
tt6862542,Hume Tumse Pyaar Kitna,2019,"['Action', 'Drama', 'Romance']",7.4,85.0,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,"['KaranvirBohra', 'PriyaBanerjee', '']"
tt7485048,Super 30,2019,"['Biography', 'Drama']",8.2,13972.0,Anand Kumar  a Mathematics genius from a modest family in Bihar who is made to believe that only a King's son can become a king is on a mission to prove that even the poor man can create some of the world's most genius minds. He starts a training program named 'Super 30' to help 30 IIT aspirants crack the entrance test and make them highly successful professionals.,"['HrithikRoshan', 'MrunalThakur', 'NandishSingh', 'VirendraSaxena', 'SadhanaSingh', 'AdityaSrivastava', 'SanketDeshpande', 'PankajTripathi', 'VaibhavGupta', 'AliHaji', 'RajeshSharma', 'DeepaliKumar', 'ChittaranjanGiri', 'GaneshKumar', '']"
tt8897986,Family of Thakurganj,2019,"['Action', 'Drama']",9.4,895.0,The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,"['JimmySheirgill', 'MahieGill', 'NandishSingh', 'PranatiRaiPrakash', 'SaurabhShukla', 'SudhirPandey', 'SupriyaPilgaonkar', 'PavanMalhotra', 'YashpalSharma', 'MukeshTiwari', 'RajZutshi', 'SalilAcharya', 'ShivikaRishi', 'LokeshTilakdhari', '']"
tt8869978,Batla House,2019,"['Action', 'Drama', 'Thriller']",7.3,5556.0,This action thriller is based on the real-life incident of 'Batla House Encounter'  officially known as Operation Batla House  to the silver screen. The incident took place on September 19  2008  against Indian Mujahideen (IM) terrorists in Batla House locality in Jamia Nagar  Delhi.,"['JohnAbraham', 'NoraFatehi', 'MrunalThakur', 'RajeshSharma', 'RaviKishan', 'SonamArora', 'SahidurRahaman', 'ManishChaudhary', 'AnilRastogi', 'KrantiPrakashJha', 'AmrutaSant', 'AnilKhopkar', 'AditiGulati', 'JitendraTrehan', '']"
tt8206760,Jhootha Kahin Ka,2019,['Comedy'],4.8,215.0,Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.,"['RishiKapoor', 'JimmySheirgill', 'SunnySinghNijjar', 'OmkarKapoor', 'NimishaMehta', 'RuchaVaidya', 'ManojJoshi', 'LilleteDubey', 'RajeshSharma', 'GurbachanSingh', 'RakeshBedi', 'NeeluKohli', 'ShobhaSingh', 'SunnyLeone', '']"
tt8108196,Judgementall Hai Kya,2019,"['Comedy', 'Drama', 'Thriller']",6.0,3269.0,Following the story of two quirky individuals whose lives pivot between reality and illusions.,"['KanganaRanaut', 'RajkummarRao', 'AmyraDastur', 'AmritaPuri', 'JimmySheirgill', '']"
tt7189494,Chicken Curry Law,2019,['Drama'],6.0,19.0,Maya a foreigner who comes to India for her career gets kidnapped and raped by two politically influential men Makiya and Nana. She is left on the streets of Mumbai half naked by them. She is helped by Satya Deshmukh  a local social activist. Satya Deshmukh helps Maya find Sitapati Shukla who fights her case in the court against the political goons. But in every step  Maya is proven wrong and her behaviour is blamed for being raped. With all the drama unfolding  Sitapati tries to find the proof against Makiya and Nana. With an interesting and unexpected climax  will Maya get justice? Ashutosh Rana  Nivedita Bhattacharya  Makarand Deshpande  Zakir Hussain  Aman Verma  and Polish actress  Nataliya Janoszek star in this tale to shatter stereotypical assumptions faced by foreign women in India and upholds our cultural tradition of Atithi Devo Bhava.,"['NataliaJanoszek', 'AshutoshRana', 'MakrandDeshpande', 'NiveditaBhattacharya', 'MukeshHariawala', 'ZakirHussain', 'AmanVerma', '']"
tt7881524,Arjun Patiala,2019,"['Action', 'Comedy']",4.1,676.0,"Arjun Patiala(Diljit Dosanjh)has recently been initiated into the police service. A man who has spend most of his early life disciplining himself in Judo and getting into the forces now decides its time to take it easy. He's introduced to his loyal ""chita munshi"" who soon turns into a confidant- Onida Singh. ( Varun Sharma) We quickly realise Arjun Patiala's quirks - That he is fond of women  and even fonder of his drink. But his quirky  original and unusual ideas help him reduce the crime rate in the city without even moving a finger. Along the way Arjun falls in love with a firebrand news reporter - Ritu Randhawa (Kriti Sanon) who might pull the curtain on his deeds. A laugh riot film  Arjun Patiala will leave you in splits.These unforgettable characters are definitely here to stay.","['DiljitDosanjh', 'KritiSanon', 'VarunSharma', 'RonitRoy', 'SeemaBhargava', 'MohammedZeeshanAyyub', 'AmitMehra', '']"
