imdb_id,original_title,tags
tt8869978,Batla House,action drama thriller this action thriller is based on the real-life incident of 'batla house encounter' officially known as operation batla house to the silver screen. the incident took place on september 19 2008 against indian mujahideen (im) terrorists in batla house locality in jamia nagar delhi. johnabraham norafatehi mrunalthakur rajeshsharma ravikishan sonamarora sahidurrahaman manishchaudhary anilrastogi krantiprakashjha amrutasant anilkhopkar aditigulati jitendratrehan 
tt8206760,Jhootha Kahin Ka,comedy two boys go to mauritius to study and love it so much there that they are reluctant to return home. rishi plays omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle. rishikapoor jimmysheirgill sunnysinghnijjar omkarkapoor nimishamehta ruchavaidya manojjoshi lilletedubey rajeshsharma gurbachansingh rakeshbedi neelukohli shobhasingh sunnyleone 
tt8108196,Judgementall Hai Kya,comedy drama thriller following the story of two quirky individuals whose lives pivot between reality and illusions. kanganaranaut rajkummarrao amyradastur amritapuri jimmysheirgill 
tt7189494,Chicken Curry Law,drama maya a foreigner who comes to india for her career gets kidnapped and raped by two politically influential men makiya and nana. she is left on the streets of mumbai half naked by them. she is helped by satya deshmukh a local social activist. satya deshmukh helps maya find sitapati shukla who fights her case in the court against the political goons. but in every step maya is proven wrong and her behaviour is blamed for being raped. with all the drama unfolding sitapati tries to find the proof against makiya and nana. with an interesting and unexpected climax will maya get justice? ashutosh rana nivedita bhattacharya makarand deshpande zakir hussain aman verma and polish actress nataliya janoszek star in this tale to shatter stereotypical assumptions faced by foreign women in india and upholds our cultural tradition of atithi devo bhava. nataliajanoszek ashutoshrana makranddeshpande niveditabhattacharya mukeshhariawala zakirhussain amanverma 
tt7881524,Arjun Patiala,"action comedy arjun patiala(diljit dosanjh)has recently been initiated into the police service. a man who has spend most of his early life disciplining himself in judo and getting into the forces now decides its time to take it easy. he's introduced to his loyal ""chita munshi"" who soon turns into a confidant- onida singh. ( varun sharma) we quickly realise arjun patiala's quirks - that he is fond of women and even fonder of his drink. but his quirky original and unusual ideas help him reduce the crime rate in the city without even moving a finger. along the way arjun falls in love with a firebrand news reporter - ritu randhawa (kriti sanon) who might pull the curtain on his deeds. a laugh riot film arjun patiala will leave you in splits.these unforgettable characters are definitely here to stay. diljitdosanjh kritisanon varunsharma ronitroy seemabhargava mohammedzeeshanayyub amitmehra "
tt8785426,Jabariya Jodi,action comedy drama a thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage. sidharthmalhotra parineetichopra javedjaffrey sanjaymishra aparshaktikhurana 
tt7228072,Pranaam,action crime drama a peon's son who is an aspiring ias officer is compelled to change his path leading him to turn into a gangster. rajeevkhandelwal atulkulkarni abhimanyusingh sameksha vikramgokhale aniruddhdave apoorvaarora s.m.zaheer 
tt8902990,The Sky Is Pink,"drama family romance the sky is pink is the incredible love story of a couple spanning 25 years told through the lens of their teenage daughter. she is sassy sardonic spunky and also...dead. a fact she nonchalantly mentions at the very outset. ""get over it. it's quite cool actually. you'll see when you get here (which you do know you will right?!)"" unexpectedly humorous warm and heart wrenching all at once as the magic of life and beauty of death manifest in one family's unusual courageous journey in this 100% true story. zairawasim priyankachopra farhanakhtar rohitsaraf "
tt9248972,Mission Mangal,drama history based on true events of the indian space research organisation (isro) successfully launching the mars orbiter mission (mangalyaan) making it the least expensive mission to mars. akshaykumar vidyabalan nithyamenon taapseepannu sonakshisinha kirtikulhari h.g.dattatreya sharmanjoshi sanjaykapoor daliptahil vikramgokhale mohammedzeeshanayyub purabkohli 
tt6836936,Saaho,action thriller this action thriller is about a power battle which is taking place in the higher echelons of power unrelated and unconnected episodes occurring in different parts of the globe intertwine in an unforeseen manner to a revelation of mind games. the story delves the audience into the game of a brilliant master mind to reveal the true nature of all that are involved. it challenges the perceptions of who is the hunter and who is the hunted. jacquelinefernandez shraddhakapoor prabhas jackieshroff mandirabedi neilnitinmukesh chunkypandey arunvijay maheshmanjrekar evelynsharma tinnuanand michaelsegal philipfornah vennelakishore 
